text,category,email_length,num_questions,num_exclamations,contains_table,has_po,has_gst,has_model,has_urgent,has_project,has_specs,has_legal,has_pricing_word,has_certification_request,follow_up_signal,is_escalation,context_reference
"We require 35 pieces of each of the following fire extinguishers. Please send your quote at the earliest with stock status: 6 kg powder fire extinguisher with MAP based powder and IRS class approval, and 6 kg powder fire extinguisher with SBC based powder and IRS class approval. Request from Seahawk Marine Supply.",quotation_request,315,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Please send quotation for the supply of the following fire extinguishers: 3 Nos of 2 kg DCP stored pressure type (MAP 40%, ISI approved), 23 Nos of 9 kg DCP SBC cartridge type (IRS approved), 6 Nos of 6 kg DCP SBC cartridge type (IRS approved), 9 Nos of 9 kg CO2 IRS approved, 14 Nos of 6.5 kg CO2 IRS approved, and 2 Nos of 9L water type stored pressure ISI approved. Request from MM Cargo Gear and Marine Services Pvt Ltd, Kakinada, Andhra Pradesh.",quotation_request,450,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Dear Madam Please find our BIS Licence copy and IRS certificate for SBC. Thanks & Regards, As per PO #84960. Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry,144,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
Kindly provide the rates for the following enquiry: 2 pcs of 9 liter foam portable extinguishers and 2 pcs of 4.5 kg DCP portable fire extinguishers. Request from SHM Group.,quotation_request,173,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Dear Team, Greetings from Tiger Fire! We, Tiger Fire and Security System, based in Abu Dhabi, UAE, are writing to express our interest in representing your esteemed brand as an agent/distributor for your firefighting products—particularly the Kitchen Hood Suppression System—in the United Arab Emirates. With over 5 years of experience in the fire safety industry and a well established network of clients across industrial, commercial, and government sectors, we are confident in our ability to promote and expand your product presence in this growing market. We are highly impressed by the quality and innovation of your product range, which aligns perfectly with our company’s values and the market demands in our region. We would appreciate the opportunity to explore a potential collaboration and request more information regarding your agency terms, product catalog, and partnership requirements. Please let us know a convenient time for a call or virtual meeting. Thank you for considering our request. We look forward to the possibility of working together.",general_enquiry,1065,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Please provide MSDS and compliance info for foam extinguishers. As per PO #33634.,general_enquiry,82,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Please share the best quote and availability for the following: 88 Nos of 2 kg FE36 extinguishers with wall mounting bracket, 8 sets of sand buckets with ISI marking and red paint, 9L foam type extinguishers with mounting accessories, 8 photoluminescent “Fire Extinguisher” signs, and 6 tripod floor stands with accessories. Required for Digital Edge Phase 2, Mumbai. Make: Firefite. As per PO #70484.",quotation_request,402,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1
"We need urgent quotation for bulk supply of 50 units of dry powder extinguishers, IS:15683 compliant.",quotation_request,101,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"Kindly quote for the following items for the Mumbai Project: 7 Nos of FireFite FAS Series A 5000 (UL APPROVED) Model A5000, 4 Nos of FireFite FAS Series A 5000 Model A5000, 1 No of FireFite FAS Series A 500 Model A500, 4 Sequential Activators, 2 Nos of 5 Amps SMPS Panels with standby battery backup, 1 Agent Release Panel with standby battery backup (UL), 6 Conventional Heat Detectors (UL), and 6 Conventional Smoke Detectors (UL).",quotation_request,433,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
"Please provide your best quotation urgently for the following extinguishers: 6 kg DCP cartridge type fire extinguisher with floor stand, IS:15683, MAP 90%, ISI mark; and 22 kg DCP cartridge type fire extinguisher with trolley, IS:15683, ISI mark. Preferred brands: Supremex, Kanex, Bharati Fire. Required for Clinisupplies Pvt Ltd., Ujjain.",quotation_request,340,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
Delivered extinguishers are past expiry. Requesting urgent resolution.,complaint,70,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dear Business partner, We require Eye washer for shop floor. Please refer below specification and submit quotation as soon as possible. Eye/Face wash fountain: Eye wash fountain head is between 830 1140 mm (83 cm 114 cm) above floor surface. Eyewash Head: Two high flow sprays, operated at low pressure, which washes the eye and face. Anti dust cover protects the head from airborne contaminants and automatically opens with water pressure. Distance between two eye wash head is 140 to 200 mm as per standard. Eyewash Bowl: Bowl Material: SS 304 Size of ABS Bowl 260 ± 5 mm. Material: Pipe: SS304 Fitting: SS304 Flange: SS Casting 304 grade Foot Pedal: For easy supply and control of water flow in the eye wash head without use of hand. Features: Water inlet connections of 1/2’’ NB for eye/face wash. Water outlet connection – 1¼” NB Eye wash discharge rate – 12 lpm.(minimum) . Manually operated valve with push plate for hazel free usage. Receptor bowl attached for minimize wastage of water. With foot pedal for hands free operation to supply and control water flow through eye wash heads. Water supply Operating Pressure: 2.1 Kg / cm2 (30 PSI). Foot Pedal: For easy supply and control of water flow in the eye wash head without use of hand. Base Plate: To hold the shower structure in a stable position. Diameter of the base plate shall be 180 ± 3 m. Push to Open Valve: ½” BSP Ball valve connects units to uninterruptible water supply as per requirement. Colure: Powder coated Quantity: 5 Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry,1545,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"Dear, Project:  Netmagic DC8 NAV 2 Fire Extinguishers Location Mumbai Please send the following documents with your quote :  Data sheet, Make & Model num against quoted BOQ line item. HSN code & GST Applicable. Applicable Standard warranty for 3 years Freight till site (Included & Delivery timeline. Rate Validity Any Deviation from the BOQ & Technical Specs (attached) to be highlighted (if not done, will be considered as fully complied) Looking forward to your techno commercial proposal ASAP. Please acknowledge the receipt of this email. Thank you",general_enquiry,574,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0
Need your best quotation on the supply of 5 sets of 4.5kg CO2 extinguishers and 6kg ABC extinguishers with accessories.,quotation_request,119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Customer support did not provide a resolution to our issue.,complaint,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
We are planning procurement for our retail chain kindly quote for 30 fire extinguishers with annual maintenance. Kindly include GST No: 27AAACX1234Z1Z in the invoice. Preferred Model: DCP-6L.,quotation_request,198,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
Some of the extinguishers do not have ISI markings as required. Preferred Model No: DCP-4KG.,complaint,91,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Discrepancy in model and specs between quote and delivered items. As per PO #23534.,complaint,84,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"Is it possible to buy extinguishers in custom color or branding? Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",general_enquiry,128,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kindly quote the below item along with lead time: 3 Nos of 9L portable wet chemical fire extinguishers with DGS approval. Regards, Truship Marine Corporation. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request,212,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
The fire extinguishers delivered were damaged and leaking. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
One of the powder extinguishers is leaking and unusable.,complaint,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Need details on your extinguishers suitable for electrical panel rooms.,general_enquiry,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We had to follow up multiple times to receive the quotation. Kindly improve. As per PO #34940.,complaint,95,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
"We are looking for your best price on 10 units of trolley mounted foam extinguishers, AFFF 6%, with accessories.",quotation_request,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The quantity received does not match the invoice. Missing 2 units.,complaint,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dear Sir/Madam, Please find attached Enquiry for EE systems Please Quote me the offer in the BOQ (excel file) Provided only in front of the line item. Kindly give us the best rates for the same at the EOD. Also quote for QRO line item. Waiting for your favourable response. Kindly take this on priority. Project – Eviden  pune Preferred Model No: CO2-5KG.",general_enquiry,354,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"Dear Sir, We have a requirement of ""SCBA SET   04 NOS & SPARES SCBA CYLINDERS   04 NOS"" as per the attached specifications sheet. END USER: GRSE   KOLKATA We request you to kindly forward the techno commercial proposal along with catalogues. We are looking for your kind support and cooperation. Preferred Model No: CO2-5KG.",general_enquiry,323,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Hello, kindly send your quote for the below items: 8100 ML AFFF 6% foam container for 135 liter mechanical foam extinguisher (Qty: 1), 2700 ML AFFF 6% foam container for 45 liter mechanical foam (Qty: 6), spare CO2 cartridge for 135 LTR mechanical foam extinguisher (Qty: 1), 135 liter mechanical foam extinguisher (Qty: 1), spare CO2 cartridge for 45 liter mechanical foam extinguisher (Qty: 3), 45 liter mechanical foam extinguisher (semi portable) (Qty: 3), spare CO2 cartridge for 9 LTR mechanical foam (Qty: 8). Preferred Model No: CO2-5KG. Our GST No: 27AABCU9603R1ZV is applicable.",quotation_request,570,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
We faced issues with nozzle alignment in 3 delivered units. Preferred Model No: ABC-6KG. Reference PO#: 84523.,complaint,118,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"We require extinguishers and fire accessories for our project in Surat. Please provide rates and technical data sheets. Required items: 4.5 kg CO2 type extinguisher, 5 kg DCP type extinguisher, 50 kg foam based fire extinguisher (trolley mounted), and 22.5 kg CO2 extinguisher (trolley mounted), all with accessories as per Indian Standard.",quotation_request,340,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
"Dear Vendor, We at Reliance are in the process of compiling and updating our database of vendor profiles for our records & future procurement opportunities. We kindly request you to share your latest company profile. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",general_enquiry,280,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Please quote for 10 extinguishers with CE and UL approvals, to be delivered at our Navi Mumbai facility. As per PO #53348. Our GST No: 27AABCU9603R1ZV is applicable.",quotation_request,158,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
One of the delivered units is leaking and appears defective. Kindly arrange replacement. As per PO #98059.,complaint,107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Hello, kindly send your quote for the below items: 1 pc of 8100 mL AFFF 6% foam container for 135L mechanical foam extinguisher, 6 pcs of 2700 mL AFFF 6% foam container for 45L foam extinguisher, 1 spare CO2 cartridge for 135L foam extinguisher, 1 pc of 135L foam extinguisher, 3 spare CO2 cartridges for 45L foam extinguisher, 3 pcs of 45L semi portable foam extinguishers, 8 spare CO2 cartridges for 9L extinguishers, 8 pcs of 9L foam extinguishers, 16 pcs of 540 mL AFFF 6% foam container.",quotation_request,492,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The suppression system failed during testing despite proper installation As per PO #79858.,complaint,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Your technician never arrived to fix the reported FDSS issue As per PO #44997. Preferred Model: ABC-5KG. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,160,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Reminder: We're still awaiting the quote promised last Tuesday Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,116,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1
Kindly send the pending quotation for extinguishers we requested Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,118,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
What maintenance schedule do you recommend for aerosol systems? Preferred Model No: ABC-6KG.,general_enquiry,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Do you provide Bangalore service visits for installed systems?,general_enquiry,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delivered extinguishers are past expiry. Requesting urgent resolution.... Preferred Model No: DCP-4KG.,complaint,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Reminder: We're still awaiting the quote promised last Tuesday... Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,119,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1
"Dear Sir, we require the following material for our MRVCL, Mumbai Railway Project: 120 Nos of 6.5 kg CO2 type fire extinguishers. Please quote your best possible minimum rates along with the delivery ... Our GST No: 27AABCU9603R1ZV is applicable.",quotation_request,257,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"Dear Sir, We have a requirement of ""SCBA SET   04 NOS & SPARES SCBA CYLINDERS   04 NOS"" as per the attached specifications sheet. END USER: GRSE   KOLKATA We request you to kindly forward the techno c... As per PO #80650.",general_enquiry,222,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Delivered extinguishers are past expiry. Requesting urgent resolution....,complaint,73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Reminder: We're still awaiting the quote promised last Tuesday... Preferred Model No: FMX-2.5L.,follow_up,93,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
What's the expected lifespan of your AVD blankets under constant 50°C operating temperatures?,general_enquiry,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do you offer certified training programs for handling chemical fires using your DCP systems?,general_enquiry,92,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Please share the maintenance schedule for aerosol systems installed in server rooms with 24/7 operation.,general_enquiry,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Are your CO2 extinguishers compatible with high-voltage (33kV) electrical equipment as per latest IEC standards? Kindly include GST No: 27AAACX1234Z1Z in the invoice.,general_enquiry,171,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
We need confirmation if your FPS systems can integrate with our existing Siemens fire alarm panels. Our GST No: 27AABCU9603R1ZV is applicable.,general_enquiry,153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
What's the lead time for 50+ units of marine-grade extinguishers with SOLAS certification? Preferred Model No: FMX-2.5L.,general_enquiry,118,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Do you provide onsite refilling services for DCP extinguishers in the Mumbai region? Kindly include GST No: 27AAACX1234Z1Z in the invoice.,general_enquiry,138,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please confirm if your 9L foam extinguishers are compatible with AR-AFFF concentrate. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,general_enquiry,144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Can you share the test reports for your FDSS from the last 3 years? Our GST No: 27AABCU9603R1ZV is applicable.,general_enquiry,121,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
URGENT: The newly installed suppression system failed during mandatory testing - jets didn't activate and control panel showed error E45. Need immediate replacement! Preferred Model No: CO2-5KG.,complaint,193,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Unacceptable! Received 15 expired extinguishers (MFG 2020) against our PO for new stock. Demand full refund plus penalty. Preferred Model No: FMX-2.5L.,complaint,149,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
Your technician left our FDSS in worse condition - now showing constant false alarms disrupting operations. Send senior engineer ASAP.,complaint,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Third complaint about leaking DCP extinguishers - this time causing ₹2L damage to sensitive equipment. Will escalate legally.,complaint,125,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
The 'ISI-certified' brackets supplied last week broke during routine inspection - provide genuine certified replacements immediately.,complaint,133,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Your team missed 3 scheduled maintenance visits despite reminders. Considering terminating AMC contract. As per PO #69129. Preferred Model: DCP-6L.,complaint,132,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
"False advertising! The 10kg CO2 units delivered hold only 8.5kg as per our calibration check. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,157,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
System critical issue: Aerosol generators didn't deploy during controlled test fire. Complete system failure!,complaint,109,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Unauthorized substitution: Received Kanex extinguishers instead of contracted Firefite units. Breach of terms! Preferred Model No: FMX-2.5L.,complaint,138,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Safety hazard: Multiple extinguishers from batch #FH2241 have defective pressure gauges showing false 'full' readings.,complaint,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Follow-up #4: Still awaiting response on our complaint about faulty heat detectors installed 3 weeks ago. Escalating to management.,follow_up,131,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1
Reminder: Pending quotation for 35 ABC extinguishers needed for upcoming safety audit (originally requested 15 days ago).,follow_up,121,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
