text,category
Please share pricing and availability for 4 sets of extinguishers and associated brackets for commercial installation. Preferred Model No: FMX-2.5L.,quotation_request
Received CO2 extinguishers without wall brackets as committed in PO.,complaint
Received CO2 extinguishers without wall brackets as committed in PO.,complaint
Do you provide training for fire extinguisher use after purchase?,general_enquiry
do you provide fire extinguisher training after purchase?,general_enquiry
do you provide training to use fire extinguishers after the purchase of them?,general_enquiry
There was a mismatch in the number of items delivered vs invoice. Preferred Model No: FMX-2.5L.,complaint
"Dear Team, We have an urgent requirement of CO2 Fire Extinguishers & Firefighting Foam for PKG 01 & PKG 02 as per attached specification. Request you to please go through the same and submit your offer with complete terms & conditions. Technical Acceptance cum Deviation Sheet duly filled, signed and stamped shall be required along with offer. Also please submit the Catalogue or Datasheet of the items you intend to quote. The following points needs to be considered while submitting the offer :  Incoterm : DDP MPT Central Warehouse & Bhagyam Warehouse (Vedanta Barmer – Rajasthan) as per Qty specified in attached sheet. Packing & Forwarding, Freight, Transit Insurance shall be in your scope. It shall be included in your quoted price. No extra charges shall be payable. GST Rate & HSN Code should be mentioned clearly. Payment Terms : Within 30 days from receipt & acceptance of material at site. Offer Validity shall be 90 days minimum. Lead time to be confirmed. Warranty Period to be confirmed Material Test Certificates/Warranty Certificates shall be required along with material. Please note that this is our firm requirement, so your complete offer (duly signed & stamped) should be submitted within 3 working days from receipt of this mail. Preferred Model No: ABC-6KG.",general_enquiry
"Dear Team, We have an urgent requirement of CO2 Fire Extinguishers & Firefighting Foam for PKG 01 & PKG 02 as per attached specification. Request you to please go through the same and submit your offer with complete terms & conditions. Technical Acceptance cum Deviation Sheet duly filled, signed and stamped shall be required along with offer. Also please submit the Catalogue or Datasheet of the items you intend to quote. The following points needs to be considered while submitting the offer :  Incoterm : DDP MPT Central Warehouse & Bhagyam Warehouse (Vedanta Barmer – Rajasthan) as per Qty specified in attached sheet. Packing & Forwarding, Freight, Transit Insurance shall be in your scope. It shall be included in your quoted price. No extra charges shall be payable. GST Rate & HSN Code should be mentioned clearly. Payment Terms : Within 30 days from receipt & acceptance of material at site. Offer Validity shall be 90 days minimum. Lead time to be confirmed. Warranty Period to be confirmed Material Test Certificates/Warranty Certificates shall be required along with material. Please note that this is our firm requirement, so your complete offer (duly signed & stamped) should be submitted within 3 working days from receipt of this mail. Preferred Model No: ABC-6KG.",general_enquiry
"Please send us your best offer for the following: 1 No 50L foam filled wheeled fire extinguisher, inside cartridge type MMD approved, 2 Nos of 9L foam extinguishers (Make: Andex), 4 Nos of 10 kg DCP dry chemical powder extinguishers, 6 Nos of 200g cartridges, 12 CO2 hoses with horn for 6.8 kg capacity, and 6 DCP hoses with horn for 10 kg capacity. RFQ #: 01 25 00277, BARG Marine & Industrial Projects Pvt. Ltd. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request
"Please send us your best offer for the following: 1 No 50L foam filled wheeled fire extinguisher, inside cartridge type MMD approved, 2 Nos of 9L foam extinguishers (Make: Andex), 4 Nos of 10 kg DCP dry chemical powder extinguishers, 6 Nos of 200g cartridges, 12 CO2 hoses with horn for 6.8 kg capacity, and 6 DCP hoses with horn for 10 kg capacity. RFQ #: 01 25 00277, BARG Marine & Industrial Projects Pvt. Ltd. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request
Refilling quality seems poor multiple complaints from safety officer. As per PO #36062.,complaint
Refilling quality seems poor multiple complaints from safety officer. As per PO #36062.,complaint
Received 5 kg units instead of the requested 6 kg extinguishers.,complaint
Received 5 kg units instead of the requested 6 kg extinguishers.,complaint
Kindly send your quotation for the enclosed list of industrial fire safety products including CO2 and DCP types.,quotation_request
please send me your quotation for the enclosed list of industrial fire safety products including co2 and dcp types,quotation_request
kindly send your quotation for the enclosed list of industrial fire safety products including co2 and dcp types,quotation_request
Material was delivered without the required test certificates.,complaint
Material was delivered without the required test certificates.,complaint
Can you confirm the warranty and refilling interval for ABC extinguishers?,general_enquiry
Can you confirm the warranty and refilling interval for ABC extinguishers?,general_enquiry
Requesting quotation for 12 units of 9L foam extinguishers for our warehouse safety audit next month. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,quotation_request
Requesting quotation for 12 units of 9L foam extinguishers for our warehouse safety audit next month. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,quotation_request
Refilling was not done as committed in the AMCs. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
Refilling was not done as committed in the AMCs. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
"Dear Sir, we require the following material for our MRVCL, Mumbai Railway Project: 120 Nos of 6.5 kg CO2 type fire extinguishers. Please quote your best possible minimum rates along with the delivery schedule at the earliest so that the order can be finalized.",quotation_request
"Please quote for the following items as per requirements and share your catalogues at the earliest. Required: 38 pieces of 6 kg fire extinguishers with IRS approval. Contact: Seahawk Marine Supply, Mumbai. As per PO #50362.",quotation_request
"Please quote for the following items as per requirements and share your catalogues at the earliest. Required: 38 pieces of 6 kg fire extinguishers with IRS approval. Contact: Seahawk Marine Supply, Mumbai. As per PO #50362.",quotation_request
"Request for quotation IRS approved portable fire extinguishers. Required: 25 units of 9L foam extinguishers, 14 CO₂ cartridges (90g), refilling & CO₂ cartridge for 45L wheeled foam extinguisher (2 Nos), for 135L extinguisher (1 No), 1 foam applicator, 3 AFFF 20L (6%) foam cans, and transportation cost to Mumbai port. Please quote urgently. Reference PO#: 11008.",quotation_request
"Request for quotation IRS approved portable fire extinguishers. Required: 25 units of 9L foam extinguishers, 14 CO₂ cartridges (90g), refilling & CO₂ cartridge for 45L wheeled foam extinguisher (2 Nos), for 135L extinguisher (1 No), 1 foam applicator, 3 AFFF 20L (6%) foam cans, and transportation cost to Mumbai port. Please quote urgently. Reference PO#: 11008.",quotation_request
Can you share the technical specs of your 6kg ABC extinguisher?,general_enquiry
how does it operate with a 6kg abc extinguisher?,general_enquiry
tell me the specification for your 6 kg abc extinguisher?,general_enquiry
can you list the technical specs of an abc fire extinguisher?,general_enquiry
can you list the specifications of your 6kg abc extinguisher?,general_enquiry
"Hi Team, Good Day. I wanted to check with you if your Fire Fite brand fire extinguishers have type approval certificates. I am specifically looking for ABC (Stored Pressure) Type Fire Extinguisher 02 Kg. Capacity. As per IS : 15683.",general_enquiry
"Hi Team, Good Day. I wanted to check with you if your Fire Fite brand fire extinguishers have type approval certificates. I am specifically looking for ABC (Stored Pressure) Type Fire Extinguisher 02 Kg. Capacity. As per IS : 15683.",general_enquiry
"Kindly provide your quotation with best price for the following: 38 Nos of 4.5 kg CO2 fire extinguishers with wall mounting brackets (ISI mark), 43 Nos of 6 kg ABC type stored pressure fire extinguishers (ISI mark), 1 No of 9L handheld K type fire extinguisher with brackets, and 1 No of mechanical foam type fire extinguisher with valve, fill, horn and trolley. Required by Argus Secure. Preferred Model No: DCP-4KG.",quotation_request
"Hello sir, My Name is Navi and I am from California USA. I am running my own buisness in India and And I Have best Clint list over there. Now recently I shifted to USA from last 3 year. We plan to work here also with same profession to sell fire fighting equipment. I looking for one of the best brand and manufacturer's which one full fill our requirements in USA and India also after search on internet I see your brand is suitable for me . Hope your brand and company support me to sell best quality to the customers satisfaction. First we start with extinguisher sale of your brand so plz send me your price list and your brand catalog for me . give me best price so that we can beat other brands in Markit. ABC 2lb to 10 lb ABC 4 kg. 6 kg. 10kg Note: I have 13/14 year experience in fire and industrial safety and also member of NFPA And FSAI ( INDIA)was worked with world leadings brands. We are waiting for your reply.",general_enquiry
"Hello sir, My Name is Navi and I am from California USA. I am running my own buisness in India and And I Have best Clint list over there. Now recently I shifted to USA from last 3 year. We plan to work here also with same profession to sell fire fighting equipment. I looking for one of the best brand and manufacturer's which one full fill our requirements in USA and India also after search on internet I see your brand is suitable for me . Hope your brand and company support me to sell best quality to the customers satisfaction. First we start with extinguisher sale of your brand so plz send me your price list and your brand catalog for me . give me best price so that we can beat other brands in Markit. ABC 2lb to 10 lb ABC 4 kg. 6 kg. 10kg Note: I have 13/14 year experience in fire and industrial safety and also member of NFPA And FSAI ( INDIA)was worked with world leadings brands. We are waiting for your reply.",general_enquiry
Looking for your office address and lead time for a site visit. Preferred Model No: DCP-4KG.,general_enquiry
"We require 35 pieces of each of the following fire extinguishers. Please send your quote at the earliest with stock status: 6 kg powder fire extinguisher with MAP based powder and IRS class approval, and 6 kg powder fire extinguisher with SBC based powder and IRS class approval. Request from Seahawk Marine Supply.",quotation_request
"We require 35 pieces of each of the following fire extinguishers. Please send your quote at the earliest with stock status: 6 kg powder fire extinguisher with MAP based powder and IRS class approval, and 6 kg powder fire extinguisher with SBC based powder and IRS class approval. Request from Seahawk Marine Supply.",quotation_request
"Please send quotation for the supply of the following fire extinguishers: 3 Nos of 2 kg DCP stored pressure type (MAP 40%, ISI approved), 23 Nos of 9 kg DCP SBC cartridge type (IRS approved), 6 Nos of 6 kg DCP SBC cartridge type (IRS approved), 9 Nos of 9 kg CO2 IRS approved, 14 Nos of 6.5 kg CO2 IRS approved, and 2 Nos of 9L water type stored pressure ISI approved. Request from MM Cargo Gear and Marine Services Pvt Ltd, Kakinada, Andhra Pradesh.",quotation_request
"Please send quotation for the supply of the following fire extinguishers: 3 Nos of 2 kg DCP stored pressure type (MAP 40%, ISI approved), 23 Nos of 9 kg DCP SBC cartridge type (IRS approved), 6 Nos of 6 kg DCP SBC cartridge type (IRS approved), 9 Nos of 9 kg CO2 IRS approved, 14 Nos of 6.5 kg CO2 IRS approved, and 2 Nos of 9L water type stored pressure ISI approved. Request from MM Cargo Gear and Marine Services Pvt Ltd, Kakinada, Andhra Pradesh.",quotation_request
"Dear Madam Please find our BIS Licence copy and IRS certificate for SBC. Thanks & Regards, As per PO #84960. Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry
"Dear Madam Please find our BIS Licence copy and IRS certificate for SBC. Thanks & Regards, As per PO #84960. Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry
Kindly provide the rates for the following enquiry: 2 pcs of 9 liter foam portable extinguishers and 2 pcs of 4.5 kg DCP portable fire extinguishers. Request from SHM Group.,quotation_request
"Dear Team, Greetings from Tiger Fire! We, Tiger Fire and Security System, based in Abu Dhabi, UAE, are writing to express our interest in representing your esteemed brand as an agent/distributor for your firefighting products—particularly the Kitchen Hood Suppression System—in the United Arab Emirates. With over 5 years of experience in the fire safety industry and a well established network of clients across industrial, commercial, and government sectors, we are confident in our ability to promote and expand your product presence in this growing market. We are highly impressed by the quality and innovation of your product range, which aligns perfectly with our company’s values and the market demands in our region. We would appreciate the opportunity to explore a potential collaboration and request more information regarding your agency terms, product catalog, and partnership requirements. Please let us know a convenient time for a call or virtual meeting. Thank you for considering our request. We look forward to the possibility of working together.",general_enquiry
"Dear Team, Greetings from Tiger Fire! We, Tiger Fire and Security System, based in Abu Dhabi, UAE, are writing to express our interest in representing your esteemed brand as an agent/distributor for your firefighting products—particularly the Kitchen Hood Suppression System—in the United Arab Emirates. With over 5 years of experience in the fire safety industry and a well established network of clients across industrial, commercial, and government sectors, we are confident in our ability to promote and expand your product presence in this growing market. We are highly impressed by the quality and innovation of your product range, which aligns perfectly with our company’s values and the market demands in our region. We would appreciate the opportunity to explore a potential collaboration and request more information regarding your agency terms, product catalog, and partnership requirements. Please let us know a convenient time for a call or virtual meeting. Thank you for considering our request. We look forward to the possibility of working together.",general_enquiry
Please provide MSDS and compliance info for foam extinguishers. As per PO #33634.,general_enquiry
please provide msds and compliance information for foam extinguishers as per po 33634,general_enquiry
"Please share the best quote and availability for the following: 88 Nos of 2 kg FE36 extinguishers with wall mounting bracket, 8 sets of sand buckets with ISI marking and red paint, 9L foam type extinguishers with mounting accessories, 8 photoluminescent “Fire Extinguisher” signs, and 6 tripod floor stands with accessories. Required for Digital Edge Phase 2, Mumbai. Make: Firefite. As per PO #70484.",quotation_request
"Please share the best quote and availability for the following: 88 Nos of 2 kg FE36 extinguishers with wall mounting bracket, 8 sets of sand buckets with ISI marking and red paint, 9L foam type extinguishers with mounting accessories, 8 photoluminescent “Fire Extinguisher” signs, and 6 tripod floor stands with accessories. Required for Digital Edge Phase 2, Mumbai. Make: Firefite. As per PO #70484.",quotation_request
"We need urgent quotation for bulk supply of 50 units of dry powder extinguishers, IS:15683 compliant.",quotation_request
"We need urgent quotation for bulk supply of 50 units of dry powder extinguishers, IS:15683 compliant.",quotation_request
"Kindly quote for the following items for the Mumbai Project: 7 Nos of FireFite FAS Series A 5000 (UL APPROVED) Model A5000, 4 Nos of FireFite FAS Series A 5000 Model A5000, 1 No of FireFite FAS Series A 500 Model A500, 4 Sequential Activators, 2 Nos of 5 Amps SMPS Panels with standby battery backup, 1 Agent Release Panel with standby battery backup (UL), 6 Conventional Heat Detectors (UL), and 6 Conventional Smoke Detectors (UL).",quotation_request
"Kindly quote for the following items for the Mumbai Project: 7 Nos of FireFite FAS Series A 5000 (UL APPROVED) Model A5000, 4 Nos of FireFite FAS Series A 5000 Model A5000, 1 No of FireFite FAS Series A 500 Model A500, 4 Sequential Activators, 2 Nos of 5 Amps SMPS Panels with standby battery backup, 1 Agent Release Panel with standby battery backup (UL), 6 Conventional Heat Detectors (UL), and 6 Conventional Smoke Detectors (UL).",quotation_request
"Please provide your best quotation urgently for the following extinguishers: 6 kg DCP cartridge type fire extinguisher with floor stand, IS:15683, MAP 90%, ISI mark; and 22 kg DCP cartridge type fire extinguisher with trolley, IS:15683, ISI mark. Preferred brands: Supremex, Kanex, Bharati Fire. Required for Clinisupplies Pvt Ltd., Ujjain.",quotation_request
"Please provide your best quotation urgently for the following extinguishers: 6 kg DCP cartridge type fire extinguisher with floor stand, IS:15683, MAP 90%, ISI mark; and 22 kg DCP cartridge type fire extinguisher with trolley, IS:15683, ISI mark. Preferred brands: Supremex, Kanex, Bharati Fire. Required for Clinisupplies Pvt Ltd., Ujjain.",quotation_request
Delivered extinguishers are past expiry. Requesting urgent resolution.,complaint
Delivered extinguishers are past expiry. Requesting urgent resolution.,complaint
"Dear Business partner, We require Eye washer for shop floor. Please refer below specification and submit quotation as soon as possible. Eye/Face wash fountain: Eye wash fountain head is between 830 1140 mm (83 cm 114 cm) above floor surface. Eyewash Head: Two high flow sprays, operated at low pressure, which washes the eye and face. Anti dust cover protects the head from airborne contaminants and automatically opens with water pressure. Distance between two eye wash head is 140 to 200 mm as per standard. Eyewash Bowl: Bowl Material: SS 304 Size of ABS Bowl 260 ± 5 mm. Material: Pipe: SS304 Fitting: SS304 Flange: SS Casting 304 grade Foot Pedal: For easy supply and control of water flow in the eye wash head without use of hand. Features: Water inlet connections of 1/2’’ NB for eye/face wash. Water outlet connection – 1¼” NB Eye wash discharge rate – 12 lpm.(minimum) . Manually operated valve with push plate for hazel free usage. Receptor bowl attached for minimize wastage of water. With foot pedal for hands free operation to supply and control water flow through eye wash heads. Water supply Operating Pressure: 2.1 Kg / cm2 (30 PSI). Foot Pedal: For easy supply and control of water flow in the eye wash head without use of hand. Base Plate: To hold the shower structure in a stable position. Diameter of the base plate shall be 180 ± 3 m. Push to Open Valve: ½” BSP Ball valve connects units to uninterruptible water supply as per requirement. Colure: Powder coated Quantity: 5 Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry
"Dear Business partner, We require Eye washer for shop floor. Please refer below specification and submit quotation as soon as possible. Eye/Face wash fountain: Eye wash fountain head is between 830 1140 mm (83 cm 114 cm) above floor surface. Eyewash Head: Two high flow sprays, operated at low pressure, which washes the eye and face. Anti dust cover protects the head from airborne contaminants and automatically opens with water pressure. Distance between two eye wash head is 140 to 200 mm as per standard. Eyewash Bowl: Bowl Material: SS 304 Size of ABS Bowl 260 ± 5 mm. Material: Pipe: SS304 Fitting: SS304 Flange: SS Casting 304 grade Foot Pedal: For easy supply and control of water flow in the eye wash head without use of hand. Features: Water inlet connections of 1/2’’ NB for eye/face wash. Water outlet connection – 1¼” NB Eye wash discharge rate – 12 lpm.(minimum) . Manually operated valve with push plate for hazel free usage. Receptor bowl attached for minimize wastage of water. With foot pedal for hands free operation to supply and control water flow through eye wash heads. Water supply Operating Pressure: 2.1 Kg / cm2 (30 PSI). Foot Pedal: For easy supply and control of water flow in the eye wash head without use of hand. Base Plate: To hold the shower structure in a stable position. Diameter of the base plate shall be 180 ± 3 m. Push to Open Valve: ½” BSP Ball valve connects units to uninterruptible water supply as per requirement. Colure: Powder coated Quantity: 5 Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry
"Dear, Project:  Netmagic DC8 NAV 2 Fire Extinguishers Location Mumbai Please send the following documents with your quote :  Data sheet, Make & Model num against quoted BOQ line item. HSN code & GST Applicable. Applicable Standard warranty for 3 years Freight till site (Included & Delivery timeline. Rate Validity Any Deviation from the BOQ & Technical Specs (attached) to be highlighted (if not done, will be considered as fully complied) Looking forward to your techno commercial proposal ASAP. Please acknowledge the receipt of this email. Thank you",general_enquiry
Need your best quotation on the supply of 5 sets of 4.5kg CO2 extinguishers and 6kg ABC extinguishers with accessories.,quotation_request
Customer support did not provide a resolution to our issue.,complaint
customer support didn't resolve our issue,complaint
customer support was not able to resolve our issue,complaint
customer support has not provided any solutions to our problem,complaint
customer support did not provide a resolution to our problem,complaint
We are planning procurement for our retail chain kindly quote for 30 fire extinguishers with annual maintenance. Kindly include GST No: 27AAACX1234Z1Z in the invoice. Preferred Model: DCP-6L.,quotation_request
We are planning procurement for our retail chain kindly quote for 30 fire extinguishers with annual maintenance. Kindly include GST No: 27AAACX1234Z1Z in the invoice. Preferred Model: DCP-6L.,quotation_request
Some of the extinguishers do not have ISI markings as required. Preferred Model No: DCP-4KG.,complaint
some extinguishers do not have isi markings as required,complaint
some of the extinguishers do not have isi markings as required,complaint
Discrepancy in model and specs between quote and delivered items. As per PO #23534.,complaint
Discrepancy in model and specs between quote and delivered items. As per PO #23534.,complaint
Is it possible to buy extinguishers in custom color or branding? Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-,general_enquiry
is it possible to buy extinguishers in customized color or branding?,general_enquiry
"Kindly quote the below item along with lead time: 3 Nos of 9L portable wet chemical fire extinguishers with DGS approval. Regards, Truship Marine Corporation. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request
"Kindly quote the below item along with lead time: 3 Nos of 9L portable wet chemical fire extinguishers with DGS approval. Regards, Truship Marine Corporation. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request
The fire extinguishers delivered were damaged and leaking. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
The fire extinguishers delivered were damaged and leaking. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
One of the powder extinguishers is leaking and unusable.,complaint
one of the extinguishers is leaking and cannot be used,complaint
Need details on your extinguishers suitable for electrical panel rooms.,general_enquiry
i need the details of your extinguishers for electrical panel rooms,general_enquiry
need details about your extinguishers suitable for electrical panel rooms,general_enquiry
need details on your extinguishers suitable for electrical panel rooms,general_enquiry
We had to follow up multiple times to receive the quotation. Kindly improve. As per PO #34940.,complaint
We had to follow up multiple times to receive the quotation. Kindly improve. As per PO #34940.,complaint
"We are looking for your best price on 10 units of trolley mounted foam extinguishers, AFFF 6%, with accessories.",quotation_request
"We are looking for your best price on 10 units of trolley mounted foam extinguishers, AFFF 6%, with accessories.",quotation_request
The quantity received does not match the invoice. Missing 2 units.,complaint
the received quantity does not match the invoice,complaint
the quantity received does not match the invoice,complaint
"Dear Sir/Madam, Please find attached Enquiry for EE systems Please Quote me the offer in the BOQ (excel file) Provided only in front of the line item. Kindly give us the best rates for the same at the EOD. Also quote for QRO line item. Waiting for your favourable response. Kindly take this on priority. Project – Eviden  pune Preferred Model No: CO2-5KG.",general_enquiry
"Dear Sir/Madam, Please find attached Enquiry for EE systems Please Quote me the offer in the BOQ (excel file) Provided only in front of the line item. Kindly give us the best rates for the same at the EOD. Also quote for QRO line item. Waiting for your favourable response. Kindly take this on priority. Project – Eviden  pune Preferred Model No: CO2-5KG.",general_enquiry
